Module, Date, Time (PDT), Vin (V), Iin (A), Vout (V), Iout (A), Power (W)
M421101006AJB, 2015-6-15, 6:23:00, 37.781250, 0.313721, 29.046875, 0.364990, 10.601826
M431101063AJA, 2015-6-15, 6:23:00, 32.625000, 0.186646, 12.835938, 0.378906, 4.863617
M461101120AJF, 2015-6-15, 6:24:00, 25.109375, 0.068970, 23.625000, 0.023209, 0.548304
M461101053AJ8, 2015-6-15, 6:24:00, 37.093750, 0.035797, 37.062500, 0.012589, 0.466561
M461101194AJ0, 2015-6-15, 6:24:00, 10.343750, 0.082886, 10.234375, 0.000320, 0.003279
M431101029AJ2, 2015-6-15, 6:24:00, 36.281250, 0.060669, 36.156250, 0.035797, 1.294290
M421101006AJB, 2015-6-15, 6:24:00, 38.937500, 0.291504, 32.531250, 0.324219, 10.547241
M431101063AJA, 2015-6-15, 6:24:00, 33.062500, 0.191650, 18.171875, 0.334229, 6.073559
M461101053AJ8, 2015-6-15, 6:25:00, 37.718750, 0.022217, 37.687500, 0.000000, 0.000000
M461101194AJ0, 2015-6-15, 6:25:00, 37.468750, 0.022217, 37.468750, 0.000000, 0.000000
M431101029AJ2, 2015-6-15, 6:25:00, 37.343750, 0.022217, 37.343750, 0.000000, 0.000000
M461101120AJF, 2015-6-15, 6:25:00, 25.109375, 0.068970, 23.625000, 0.023209, 0.548304
M421101006AJB, 2015-6-15, 6:25:00, 41.281250, 0.193359, 41.187500, 0.171753, 7.074074
M431101063AJA, 2015-6-15, 6:25:00, 34.562500, 0.198608, 34.500000, 0.174072, 6.005493
M461101053AJ8, 2015-6-15, 6:26:00, 37.781250, 0.022217, 37.750000, 0.000000, 0.000000
M461101194AJ0, 2015-6-15, 6:26:00, 37.531250, 0.022217, 37.531250, 0.000000, 0.000000
M431101029AJ2, 2015-6-15, 6:26:00, 37.437500, 0.022217, 37.437500, 0.000000, 0.000000
M461101120AJF, 2015-6-15, 6:26:00, 38.031250, 0.021881, 38.031250, 0.000000, 0.000000
M421101006AJB, 2015-6-15, 6:26:00, 41.531250, 0.199219, 41.437500, 0.177734, 7.364868
M431101063AJA, 2015-6-15, 6:26:00, 34.468750, 0.207520, 34.406250, 0.182739, 6.287373
M461101053AJ8, 2015-6-15, 6:27:00, 37.781250, 0.022217, 37.781250, 0.000000, 0.000000
M461101194AJ0, 2015-6-15, 6:27:00, 37.562500, 0.022217, 37.562500, 0.000000, 0.000000
M431101029AJ2, 2015-6-15, 6:27:00, 37.468750, 0.022217, 37.468750, 0.000000, 0.000000
M461101120AJF, 2015-6-15, 6:27:00, 38.062500, 0.021881, 38.031250, 0.000000, 0.000000
M421101006AJB, 2015-6-15, 6:27:00, 41.750000, 0.200928, 41.656250, 0.179688, 7.485107
M431101063AJA, 2015-6-15, 6:27:00, 34.281250, 0.210205, 34.218750, 0.185669, 6.353359
M461101053AJ8, 2015-6-15, 6:28:00, 37.812500, 0.021881, 37.812500, 0.000000, 0.000000
M461101194AJ0, 2015-6-15, 6:28:00, 37.625000, 0.022217, 37.593750, 0.000000, 0.000000
M431101029AJ2, 2015-6-15, 6:28:00, 37.500000, 0.022217, 37.500000, 0.000000, 0.000000
M461101120AJF, 2015-6-15, 6:28:00, 38.062500, 0.021881, 38.062500, 0.000000, 0.000000
M421101006AJB, 2015-6-15, 6:28:00, 41.937500, 0.203613, 41.843750, 0.182739, 7.646496
M431101063AJA, 2015-6-15, 6:28:00, 34.187500, 0.214233, 34.093750, 0.189697, 6.467491
M461101194AJ0, 2015-6-15, 6:29:00, 16.140625, 0.109741, 15.898438, 0.060364, 0.959690
M461101120AJF, 2015-6-15, 6:29:00, 16.062500, 0.167114, 15.765625, 0.116394, 1.835025
M461101053AJ8, 2015-6-15, 6:29:00, 37.437500, 0.033478, 37.437500, 0.011276, 0.422154
M461101194AJ0, 2015-6-15, 6:29:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M431101029AJ2, 2015-6-15, 6:29:00, 37.250000, 0.042450, 37.250000, 0.019897, 0.741180
M461101120AJF, 2015-6-15, 6:29:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M421101006AJB, 2015-6-15, 6:29:00, 41.843750, 0.235474, 41.718750, 0.214478, 8.947735
M431101063AJA, 2015-6-15, 6:29:00, 33.875000, 0.218872, 31.203125, 0.223511, 6.974234
M461101053AJ8, 2015-6-15, 6:30:00, 35.687500, 0.083557, 35.687500, 0.059357, 2.118292
M461101194AJ0, 2015-6-15, 6:30:00, 16.140625, 0.109741, 15.898438, 0.060364, 0.959690
M431101029AJ2, 2015-6-15, 6:30:00, 35.812500, 0.133301, 35.687500, 0.108765, 3.881538
M461101120AJF, 2015-6-15, 6:30:00, 16.062500, 0.167114, 15.765625, 0.116394, 1.835025
M421101006AJB, 2015-6-15, 6:30:00, 41.250000, 0.497314, 38.906250, 0.503418, 19.586105
M431101063AJA, 2015-6-15, 6:30:00, 32.875000, 0.215820, 11.085938, 0.527344, 5.846100
M461101053AJ8, 2015-6-15, 6:31:00, 35.656250, 0.095520, 35.625000, 0.071289, 2.539673
M461101194AJ0, 2015-6-15, 6:31:00, 17.281250, 0.113403, 17.265625, 0.068604, 1.184483
M431101029AJ2, 2015-6-15, 6:31:00, 36.000000, 0.146484, 36.000000, 0.122681, 4.416504
M461101120AJF, 2015-6-15, 6:31:00, 17.078125, 0.171143, 17.062500, 0.125610, 2.143227
M421101006AJB, 2015-6-15, 6:31:00, 41.875000, 0.512207, 41.812500, 0.490723, 20.518341
M431101063AJA, 2015-6-15, 6:31:00, 33.125000, 0.218506, 11.710938, 0.508789, 5.958397
M461101053AJ8, 2015-6-15, 6:32:00, 35.687500, 0.096802, 35.656250, 0.072632, 2.589779
M461101194AJ0, 2015-6-15, 6:32:00, 17.312500, 0.115417, 17.296875, 0.070618, 1.221465
M431101029AJ2, 2015-6-15, 6:32:00, 36.250000, 0.148560, 36.218750, 0.124695, 4.516291
M461101120AJF, 2015-6-15, 6:32:00, 16.890625, 0.174683, 16.875000, 0.128906, 2.175293
M421101006AJB, 2015-6-15, 6:32:00, 41.875000, 0.520020, 41.843750, 0.498779, 20.870796
M431101063AJA, 2015-6-15, 6:32:00, 33.312500, 0.220825, 11.757812, 0.516113, 6.068363
M461101194AJ0, 2015-6-15, 6:33:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M461101120AJF, 2015-6-15, 6:33:00, 31.468750, 0.154541, 10.914062, 0.334473, 3.650455
M431101063AJA, 2015-6-15, 6:33:00, 32.406250, 0.230103, 1.748047, 2.861328, 5.001736
M461101053AJ8, 2015-6-15, 6:33:00, 36.343750, 0.062012, 36.312500, 0.038452, 1.396294
M461101194AJ0, 2015-6-15, 6:33:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M431101029AJ2, 2015-6-15, 6:33:00, 33.625000, 0.226196, 31.859375, 0.207275, 6.603664
M461101120AJF, 2015-6-15, 6:33:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M421101006AJB, 2015-6-15, 6:33:00, 40.750000, 1.388672, 40.718750, 1.363281, 55.511108
M431101063AJA, 2015-6-15, 6:33:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M461101194AJ0, 2015-6-15, 6:34:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M461101120AJF, 2015-6-15, 6:34:00, 31.468750, 0.154541, 10.914062, 0.334473, 3.650455
